trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.07956356727854007}",20,0,22.15268631317248,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.5477292602242684}",25,11,-55.68139534413456,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.8817917275413242}",25,0,-71.57620677282564,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9999608263946371}",35,0,-81.66329225289988,"{0: 24, 1: 3, 2: 7, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.8733046400935156}",25,0,-52.15270328104916,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.5328330203333975}",30,15,-63.858023124300196,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.061905293994420546}",30,6,-21.468926803090177,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.424179007336997}",30,19,17.257780957792516,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.8064094939122546}",20,0,-31.51393107164452,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.9912028118634736}",20,0,-120.651087519466,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.933315112063922}",20,0,-31.319675815962476,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.6469193223286404}",20,0,-72.08654349902508,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.20213512038718198}",20,8,20.97959311256796,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.2921388087338362}",20,11,4.578763174225399,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.7148869687796651}",25,0,-69.54147300526152,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9626058663135666}",20,0,-96.75791751591231,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9746452757206577}",30,0,-105.14995869474485,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
